vehicle_id,model,engine_type,engine_cc,weight_kg,vehicle_class,vehicle_age,drivetrain,condition,manufacture_year,service_date,season,ambient_temp,mileage,missed_services,service_type,failure_occurred,failure_type,failure_severity,parts_replaced,service_cost
V1,Sunny,I4,1500,1050,Sedan,0,FWD,100.0,2008,2008-07-06,Summer,46.8,8415,0,Preventive,0,None,None,"Oil Filter,Engine Oil",19.6
V1,Sunny,I4,1500,1050,Sedan,1,FWD,100.0,2008,2009-01-03,Winter,15.4,16560,0,Preventive,0,None,None,"Oil Filter,Engine Oil",20.3
V1,Sunny,I4,1500,1050,Sedan,1,FWD,100.0,2008,2009-07-08,Summer,44.7,24930,0,Preventive,0,None,None,"Oil Filter,Engine Oil",29.3
V1,Sunny,I4,1500,1050,Sedan,1,FWD,100.0,2008,2009-12-21,Winter,16.5,32400,0,Preventive,0,None,None,"Oil Filter,Engine Oil",28.1
V1,Sunny,I4,1500,1050,Sedan,2,FWD,100.0,2008,2010-06-15,Summer,37.7,40320,0,Preventive,0,None,None,"Oil Filter,Engine Oil",17.9
V1,Sunny,I4,1500,1050,Sedan,2,FWD,100.0,2008,2010-12-17,Winter,25.4,48645,0,Preventive,0,None,None,"Oil Filter,Engine Oil",26.2
V1,Sunny,I4,1500,1050,Sedan,3,FWD,100.0,2008,2011-07-13,Summer,36.3,58005,0,Preventive,0,None,None,"Oil Filter,Engine Oil",17.7
V1,Sunny,I4,1500,1050,Sedan,3,FWD,100.0,2008,2011-12-26,Winter,25.0,65475,0,Preventive,0,None,None,"Oil Filter,Engine Oil",15.0
V1,Sunny,I4,1500,1050,Sedan,4,FWD,100.0,2008,2012-07-06,Summer,46.6,74160,0,Preventive,0,None,None,"Oil Filter,Engine Oil",16.3
V1,Sunny,I4,1500,1050,Sedan,4,FWD,100.0,2008,2012-12-29,Winter,23.7,82080,0,Preventive,0,None,None,"Oil Filter,Engine Oil",18.3
V1,Sunny,I4,1500,1050,Sedan,5,FWD,100.0,2008,2013-07-28,Summer,44.2,91575,0,Emergency,1,Battery Failure,Medium,Battery,46.3
V1,Sunny,I4,1500,1050,Sedan,6,FWD,100.0,2008,2014-01-25,Winter,23.8,99720,0,Preventive,0,None,None,"Oil Filter,Engine Oil",21.4
V1,Sunny,I4,1500,1050,Sedan,6,FWD,100.0,2008,2014-08-19,Summer,43.9,108990,0,Preventive,0,None,None,"Oil Filter,Engine Oil",22.5
V1,Sunny,I4,1500,1050,Sedan,7,FWD,99.7684,2008,2015-03-01,Spring,29.0,117720,0,Preventive,0,None,None,"Oil Filter,Engine Oil",16.7
V1,Sunny,I4,1500,1050,Sedan,7,FWD,99.31134999999999,2008,2015-08-15,Summer,43.3,125235,0,Preventive,0,None,None,"Oil Filter,Engine Oil",25.4
V1,Sunny,I4,1500,1050,Sedan,8,FWD,98.52074999999999,2008,2016-02-04,Winter,16.9,133020,0,Preventive,0,None,None,"Oil Filter,Engine Oil",22.6
V1,Sunny,I4,1500,1050,Sedan,8,FWD,100.0,2008,2016-07-28,Summer,41.7,140895,0,Corrective,1,Battery Failure,Medium,Battery,50.3
V1,Sunny,I4,1500,1050,Sedan,9,FWD,93.14904999999999,2008,2017-01-10,Winter,25.4,148365,1,Skipped,0,None,None,None,0.0
V1,Sunny,I4,1500,1050,Sedan,9,FWD,91.53214999999999,2008,2017-07-26,Summer,42.7,157230,0,Preventive,0,None,None,"Oil Filter,Engine Oil",22.3
V1,Sunny,I4,1500,1050,Sedan,10,FWD,89.55199999999999,2008,2018-02-06,Winter,19.5,166005,0,Preventive,0,None,None,"Oil Filter,Engine Oil",27.8
V1,Sunny,I4,1500,1050,Sedan,10,FWD,87.33155,2008,2018-08-03,Summer,47.1,174015,0,Preventive,0,None,None,"Oil Filter,Engine Oil",27.1
V1,Sunny,I4,1500,1050,Sedan,11,FWD,84.76944999999999,2008,2019-01-29,Winter,22.2,182070,0,Preventive,0,None,None,"Oil Filter,Engine Oil",20.8
V1,Sunny,I4,1500,1050,Sedan,11,FWD,81.95625,2008,2019-08-03,Summer,42.2,190440,0,Preventive,0,None,None,"Oil Filter,Engine Oil",16.1
V1,Sunny,I4,1500,1050,Sedan,12,FWD,78.77844999999999,2008,2020-02-15,Winter,20.0,199260,0,Preventive,0,None,None,"Oil Filter,Engine Oil",23.4
V1,Sunny,I4,1500,1050,Sedan,12,FWD,75.37655,2008,2020-07-30,Summer,38.6,206730,0,Preventive,0,None,None,"Oil Filter,Engine Oil",16.0
V1,Sunny,I4,1500,1050,Sedan,13,FWD,71.6438,2008,2021-01-17,Winter,13.2,214425,0,Preventive,0,None,None,"Oil Filter,Engine Oil",25.6
V1,Sunny,I4,1500,1050,Sedan,13,FWD,62.1721,2008,2021-07-13,Summer,52.6,222390,1,Skipped,0,None,None,None,0.0
V1,Sunny,I4,1500,1050,Sedan,14,FWD,57.85335,2008,2022-01-12,Winter,28.1,230625,0,Preventive,0,None,None,"Oil Filter,Engine Oil",23.8
V1,Sunny,I4,1500,1050,Sedan,14,FWD,53.27945,2008,2022-07-20,Summer,45.9,239130,0,Preventive,0,None,None,"Oil Filter,Engine Oil",17.1
V1,Sunny,I4,1500,1050,Sedan,15,FWD,53.342299999999994,2008,2023-01-31,Winter,28.1,247905,0,Corrective,1,Tire Wear,Low,Tire,51.4
V1,Sunny,I4,1500,1050,Sedan,15,FWD,48.15944999999999,2008,2023-08-01,Summer,43.6,256095,0,Preventive,0,None,None,"Oil Filter,Engine Oil",28.3
V1,Sunny,I4,1500,1050,Sedan,16,FWD,42.59849999999999,2008,2024-02-23,Winter,26.4,265365,0,Preventive,0,None,None,"Oil Filter,Engine Oil",25.7
V1,Sunny,I4,1500,1050,Sedan,16,FWD,41.810749999999985,2008,2024-08-09,Summer,38.7,272925,0,Corrective,1,Tire Wear,Low,Tire,53.0
V1,Sunny,I4,1500,1050,Sedan,17,FWD,35.69889999999998,2008,2025-01-22,Winter,22.1,280395,0,Preventive,0,None,None,"Oil Filter,Engine Oil",20.7
V1,Sunny,I4,1500,1050,Sedan,17,FWD,34.33459999999998,2008,2025-07-28,Summer,47.2,288810,0,Emergency,1,Radiator Leak,Medium,Radiator,99.0
V1,Sunny,I4,1500,1050,Sedan,18,FWD,32.64619999999998,2008,2026-01-10,Winter,26.4,296280,0,Emergency,1,Alternator Failure,Medium,Alternator,102.9
V1,Sunny,I4,1500,1050,Sedan,18,FWD,25.69994999999998,2008,2026-07-20,Summer,35.8,304875,0,Preventive,0,None,None,"Oil Filter,Engine Oil",26.4
V2,Altima,I4,2500,1450,Sedan,0,FWD,100.0,2019,2019-06-16,Summer,49.2,6407,0,Emergency,1,Shock Absorber Wear,Medium,Shock Absorber,76.4
V2,Altima,I4,2500,1450,Sedan,0,FWD,98.09473,2019,2019-12-17,Winter,15.7,13509,1,Skipped,0,None,None,None,0.0
V2,Altima,I4,2500,1450,Sedan,1,FWD,100.0,2019,2020-06-23,Summer,40.5,20804,0,Preventive,0,None,None,"Oil Filter,Engine Oil",28.5
V2,Altima,I4,2500,1450,Sedan,1,FWD,100.0,2019,2020-12-13,Winter,24.6,27481,0,Preventive,0,None,None,"Oil Filter,Engine Oil",16.4
V2,Altima,I4,2500,1450,Sedan,2,FWD,100.0,2019,2021-06-21,Summer,45.1,34815,0,Preventive,0,None,None,"Oil Filter,Engine Oil",18.6
V2,Altima,I4,2500,1450,Sedan,2,FWD,100.0,2019,2021-12-16,Winter,20.0,41685,0,Corrective,1,Battery Failure,Medium,Battery,49.6
V2,Altima,I4,2500,1450,Sedan,3,FWD,100.0,2019,2022-06-29,Summer,35.4,49212,0,Corrective,1,Radiator Leak,Medium,Radiator,95.8
