vehicle_id,service_date,season,ambient_temp,vehicle_age,mileage,missed_services,service_type,failure_occurred,failure_type,failure_severity,parts_replaced,service_cost
V1,2008-06-19,Summer,40.5,0,7650,0,Preventive,0,None,None,"Oil Filter,Engine Oil",15.8
V1,2008-12-04,Winter,26.8,0,15210,0,Preventive,0,None,None,"Oil Filter,Engine Oil",26.4
V1,2009-05-21,Spring,33.3,1,22770,0,Preventive,0,None,None,"Oil Filter,Engine Oil",18.2
V1,2009-12-07,Winter,25.3,1,31770,0,Preventive,0,None,None,"Oil Filter,Engine Oil",17.6
V1,2010-05-25,Spring,37.2,2,39375,0,Preventive,0,None,None,"Oil Filter,Engine Oil",27.2
V1,2010-12-15,Winter,25.1,2,48555,0,Preventive,0,None,None,"Oil Filter,Engine Oil",27.5
V1,2011-05-30,Spring,29.7,3,56025,0,Preventive,0,None,None,"Oil Filter,Engine Oil",28.2
V1,2011-12-02,Winter,24.0,3,64395,0,Preventive,0,None,None,"Oil Filter,Engine Oil",19.9
V1,2012-05-25,Spring,28.7,4,72270,0,Preventive,0,None,None,"Oil Filter,Engine Oil",16.7
V1,2012-11-22,Autumn,32.5,4,80415,0,Preventive,0,None,None,"Oil Filter,Engine Oil",15.9
V1,2013-05-09,Spring,30.5,5,87975,0,Preventive,0,None,None,"Oil Filter,Engine Oil",28.9
V1,2013-11-12,Autumn,33.8,5,96390,0,Preventive,0,None,None,"Oil Filter,Engine Oil",19.6
V1,2014-05-01,Spring,25.6,6,104040,0,Preventive,0,None,None,"Oil Filter,Engine Oil",22.0
V1,2014-10-17,Autumn,33.9,6,111645,0,Preventive,0,None,None,"Oil Filter,Engine Oil",26.2
V1,2015-04-27,Spring,37.1,7,120285,0,Preventive,0,None,None,"Oil Filter,Engine Oil",26.3
V1,2015-10-21,Autumn,30.2,7,128250,0,Preventive,0,None,None,"Oil Filter,Engine Oil",17.1
V1,2016-05-01,Spring,31.8,8,136935,0,Preventive,0,None,None,"Oil Filter,Engine Oil",19.9
V1,2016-11-02,Autumn,33.4,8,145260,0,Preventive,0,None,None,"Oil Filter,Engine Oil",24.2
V1,2017-05-04,Spring,36.3,9,153495,0,Preventive,0,None,None,"Oil Filter,Engine Oil",20.4
V1,2017-11-05,Autumn,35.1,9,161820,0,Preventive,0,None,None,"Oil Filter,Engine Oil",20.6
V1,2018-04-20,Spring,26.1,10,169290,0,Preventive,0,None,None,"Oil Filter,Engine Oil",22.2
V1,2018-10-18,Autumn,34.7,10,177435,0,Preventive,0,None,None,"Oil Filter,Engine Oil",18.8
V1,2019-05-05,Spring,30.8,11,186390,0,Corrective,1,Clutch Wear,Low,Clutch Kit,160.8
V1,2019-11-05,Autumn,34.3,11,194670,0,Corrective,1,Oil Leak,Low,"Oil Seal,Gasket",51.3
V1,2020-04-23,Spring,30.4,12,202320,0,Corrective,1,Clutch Wear,Low,Clutch Kit,175.3
V1,2020-10-29,Autumn,34.8,12,210825,0,Corrective,1,Brake Pad Wear,Low,Brake Pads,36.8
V1,2021-05-03,Spring,19.1,13,219195,0,Corrective,1,Control Arm Failure,Medium,Control Arm,71.4
