vehicle_id,condition,model,engine_type,engine_cc,weight_kg,vehicle_class,drivetrain,manufacture_year,service_date,season,ambient_temp,vehicle_age,mileage,avg_daily_km,driving_style,diligence,missed_services,service_type,failure_occurred,failure_type,failure_severity,parts_replaced,service_cost
V1,100.0,Sunny,I4,1500,1050,Sedan,FWD,2008,2008-07-06,Summer,46.8,0,8415,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",19.6
V1,100.0,Sunny,I4,1500,1050,Sedan,FWD,2008,2009-01-03,Winter,15.4,1,16560,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",20.3
V1,100.0,Sunny,I4,1500,1050,Sedan,FWD,2008,2009-07-08,Summer,44.7,1,24930,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",29.3
V1,100.0,Sunny,I4,1500,1050,Sedan,FWD,2008,2009-12-21,Winter,16.5,1,32400,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",28.1
V1,100.0,Sunny,I4,1500,1050,Sedan,FWD,2008,2010-06-15,Summer,37.7,2,40320,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",17.9
V1,100.0,Sunny,I4,1500,1050,Sedan,FWD,2008,2010-12-17,Winter,25.4,2,48645,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",26.2
V1,100.0,Sunny,I4,1500,1050,Sedan,FWD,2008,2011-07-13,Summer,36.3,3,58005,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",17.7
V1,100.0,Sunny,I4,1500,1050,Sedan,FWD,2008,2011-12-26,Winter,25.0,3,65475,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",15.0
V1,100.0,Sunny,I4,1500,1050,Sedan,FWD,2008,2012-07-06,Summer,46.6,4,74160,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",16.3
V1,100.0,Sunny,I4,1500,1050,Sedan,FWD,2008,2012-12-29,Winter,23.7,4,82080,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",18.3
V1,100.0,Sunny,I4,1500,1050,Sedan,FWD,2008,2013-07-28,Summer,44.2,5,91575,45.0,Calm,Diligent,0,Emergency,1,Battery Failure,Medium,Battery,46.3
V1,100.0,Sunny,I4,1500,1050,Sedan,FWD,2008,2014-01-25,Winter,23.8,6,99720,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",21.4
V1,100.0,Sunny,I4,1500,1050,Sedan,FWD,2008,2014-08-19,Summer,43.9,6,108990,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",22.5
V1,99.7684,Sunny,I4,1500,1050,Sedan,FWD,2008,2015-03-01,Spring,29.0,7,117720,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",16.7
V1,99.31134999999999,Sunny,I4,1500,1050,Sedan,FWD,2008,2015-08-15,Summer,43.3,7,125235,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",25.4
V1,98.52074999999999,Sunny,I4,1500,1050,Sedan,FWD,2008,2016-02-04,Winter,16.9,8,133020,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",22.6
V1,100.0,Sunny,I4,1500,1050,Sedan,FWD,2008,2016-07-28,Summer,41.7,8,140895,45.0,Calm,Diligent,0,Corrective,1,Battery Failure,Medium,Battery,50.3
V1,93.14904999999999,Sunny,I4,1500,1050,Sedan,FWD,2008,2017-01-10,Winter,25.4,9,148365,45.0,Calm,Diligent,1,Skipped,0,None,None,None,0.0
V1,91.53214999999999,Sunny,I4,1500,1050,Sedan,FWD,2008,2017-07-26,Summer,42.7,9,157230,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",22.3
V1,89.55199999999999,Sunny,I4,1500,1050,Sedan,FWD,2008,2018-02-06,Winter,19.5,10,166005,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",27.8
V1,87.33155,Sunny,I4,1500,1050,Sedan,FWD,2008,2018-08-03,Summer,47.1,10,174015,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",27.1
V1,84.76944999999999,Sunny,I4,1500,1050,Sedan,FWD,2008,2019-01-29,Winter,22.2,11,182070,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",20.8
V1,81.95625,Sunny,I4,1500,1050,Sedan,FWD,2008,2019-08-03,Summer,42.2,11,190440,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",16.1
V1,78.77844999999999,Sunny,I4,1500,1050,Sedan,FWD,2008,2020-02-15,Winter,20.0,12,199260,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",23.4
V1,75.37655,Sunny,I4,1500,1050,Sedan,FWD,2008,2020-07-30,Summer,38.6,12,206730,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",16.0
V1,71.6438,Sunny,I4,1500,1050,Sedan,FWD,2008,2021-01-17,Winter,13.2,13,214425,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",25.6
V1,62.1721,Sunny,I4,1500,1050,Sedan,FWD,2008,2021-07-13,Summer,52.6,13,222390,45.0,Calm,Diligent,1,Skipped,0,None,None,None,0.0
V1,57.85335,Sunny,I4,1500,1050,Sedan,FWD,2008,2022-01-12,Winter,28.1,14,230625,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",23.8
V1,53.27945,Sunny,I4,1500,1050,Sedan,FWD,2008,2022-07-20,Summer,45.9,14,239130,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",17.1
V1,53.342299999999994,Sunny,I4,1500,1050,Sedan,FWD,2008,2023-01-31,Winter,28.1,15,247905,45.0,Calm,Diligent,0,Corrective,1,Tire Wear,Low,Tire,51.4
V1,48.15944999999999,Sunny,I4,1500,1050,Sedan,FWD,2008,2023-08-01,Summer,43.6,15,256095,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",28.3
V1,42.59849999999999,Sunny,I4,1500,1050,Sedan,FWD,2008,2024-02-23,Winter,26.4,16,265365,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",25.7
V1,41.810749999999985,Sunny,I4,1500,1050,Sedan,FWD,2008,2024-08-09,Summer,38.7,16,272925,45.0,Calm,Diligent,0,Corrective,1,Tire Wear,Low,Tire,53.0
V1,35.69889999999998,Sunny,I4,1500,1050,Sedan,FWD,2008,2025-01-22,Winter,22.1,17,280395,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",20.7
V1,34.33459999999998,Sunny,I4,1500,1050,Sedan,FWD,2008,2025-07-28,Summer,47.2,17,288810,45.0,Calm,Diligent,0,Emergency,1,Radiator Leak,Medium,Radiator,99.0
V1,32.64619999999998,Sunny,I4,1500,1050,Sedan,FWD,2008,2026-01-10,Winter,26.4,18,296280,45.0,Calm,Diligent,0,Emergency,1,Alternator Failure,Medium,Alternator,102.9
V1,25.69994999999998,Sunny,I4,1500,1050,Sedan,FWD,2008,2026-07-20,Summer,35.8,18,304875,45.0,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",26.4
V2,100.0,Altima,I4,2500,1450,Sedan,FWD,2019,2019-06-16,Summer,49.2,0,6407,38.6,Calm,Irresponsible,0,Emergency,1,Shock Absorber Wear,Medium,Shock Absorber,76.4
V2,98.09473,Altima,I4,2500,1450,Sedan,FWD,2019,2019-12-17,Winter,15.7,0,13509,38.6,Calm,Irresponsible,1,Skipped,0,None,None,None,0.0
V2,100.0,Altima,I4,2500,1450,Sedan,FWD,2019,2020-06-23,Summer,40.5,1,20804,38.6,Calm,Irresponsible,0,Preventive,0,None,None,"Oil Filter,Engine Oil",28.5
V2,100.0,Altima,I4,2500,1450,Sedan,FWD,2019,2020-12-13,Winter,24.6,1,27481,38.6,Calm,Irresponsible,0,Preventive,0,None,None,"Oil Filter,Engine Oil",16.4
V2,100.0,Altima,I4,2500,1450,Sedan,FWD,2019,2021-06-21,Summer,45.1,2,34815,38.6,Calm,Irresponsible,0,Preventive,0,None,None,"Oil Filter,Engine Oil",18.6
V2,100.0,Altima,I4,2500,1450,Sedan,FWD,2019,2021-12-16,Winter,20.0,2,41685,38.6,Calm,Irresponsible,0,Corrective,1,Battery Failure,Medium,Battery,49.6
V2,100.0,Altima,I4,2500,1450,Sedan,FWD,2019,2022-06-29,Summer,35.4,3,49212,38.6,Calm,Irresponsible,0,Corrective,1,Radiator Leak,Medium,Radiator,95.8
V2,100.0,Altima,I4,2500,1450,Sedan,FWD,2019,2023-01-09,Winter,30.1,4,56700,38.6,Calm,Irresponsible,0,Preventive,0,None,None,"Oil Filter,Engine Oil",23.8
V2,100.0,Altima,I4,2500,1450,Sedan,FWD,2019,2023-07-10,Summer,42.1,4,63725,38.6,Calm,Irresponsible,0,Preventive,0,None,None,"Oil Filter,Engine Oil",25.6
V2,100.0,Altima,I4,2500,1450,Sedan,FWD,2019,2023-12-23,Winter,19.8,4,70132,38.6,Calm,Irresponsible,0,Preventive,0,None,None,"Oil Filter,Engine Oil",28.9
V2,95.68181,Altima,I4,2500,1450,Sedan,FWD,2019,2024-06-25,Summer,31.5,5,77273,38.6,Calm,Irresponsible,1,Skipped,0,None,None,None,0.0
V2,96.64594,Altima,I4,2500,1450,Sedan,FWD,2019,2024-12-30,Winter,25.5,5,84529,38.6,Calm,Irresponsible,0,Preventive,0,None,None,"Oil Filter,Engine Oil",21.8
V2,97.28312,Altima,I4,2500,1450,Sedan,FWD,2019,2025-07-14,Summer,47.9,6,92094,38.6,Calm,Irresponsible,0,Preventive,0,None,None,"Oil Filter,Engine Oil",17.5
V2,97.58059999999999,Altima,I4,2500,1450,Sedan,FWD,2019,2026-02-06,Winter,22.0,7,100084,38.6,Calm,Irresponsible,0,Preventive,0,None,None,"Oil Filter,Engine Oil",19.1
V2,97.66384999999998,Altima,I4,2500,1450,Sedan,FWD,2019,2026-08-10,Summer,36.9,7,107225,38.6,Calm,Irresponsible,0,Preventive,0,None,None,"Oil Filter,Engine Oil",25.6
V3,100.0,Patrol,V6,4000,2600,SUV,AWD,2009,2009-07-27,Summer,39.3,0,9625,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",15.3
V3,100.0,Patrol,V6,4000,2600,SUV,AWD,2009,2010-01-30,Winter,27.3,1,18320,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",27.0
V3,100.0,Patrol,V6,4000,2600,SUV,AWD,2009,2010-07-29,Summer,44.8,1,26690,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",17.3
V3,100.0,Patrol,V6,4000,2600,SUV,AWD,2009,2011-01-11,Winter,24.2,2,34409,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",23.9
V3,100.0,Patrol,V6,4000,2600,SUV,AWD,2009,2011-07-03,Summer,41.2,2,42453,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",16.3
V3,100.0,Patrol,V6,4000,2600,SUV,AWD,2009,2012-01-12,Winter,23.0,3,51427,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",18.2
V3,100.0,Patrol,V6,4000,2600,SUV,AWD,2009,2012-07-18,Summer,38.0,3,60169,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",30.0
V3,100.0,Patrol,V6,4000,2600,SUV,AWD,2009,2013-01-18,Winter,22.3,4,68725,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",15.9
V3,100.0,Patrol,V6,4000,2600,SUV,AWD,2009,2013-07-09,Summer,41.0,4,76723,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",27.8
V3,100.0,Patrol,V6,4000,2600,SUV,AWD,2009,2013-12-26,Winter,21.3,4,84628,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",22.0
V3,100.0,Patrol,V6,4000,2600,SUV,AWD,2009,2014-06-17,Summer,40.6,5,92672,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",29.6
V3,100.0,Patrol,V6,4000,2600,SUV,AWD,2009,2014-11-30,Autumn,30.1,5,100391,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",19.5
V3,100.0,Patrol,V6,4000,2600,SUV,AWD,2009,2015-05-22,Spring,28.6,6,108435,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",25.1
V3,99.90422000000001,Patrol,V6,4000,2600,SUV,AWD,2009,2015-11-12,Autumn,33.3,6,116526,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",17.3
V3,99.45875000000001,Patrol,V6,4000,2600,SUV,AWD,2009,2016-05-09,Spring,26.6,7,124849,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",27.1
V3,98.75801000000001,Patrol,V6,4000,2600,SUV,AWD,2009,2016-11-08,Autumn,27.7,7,133358,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",24.4
V3,97.70896000000002,Patrol,V6,4000,2600,SUV,AWD,2009,2017-05-05,Spring,22.9,8,141635,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",19.6
V3,96.42834000000002,Patrol,V6,4000,2600,SUV,AWD,2009,2017-10-18,Autumn,22.7,8,149354,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",25.0
V3,94.78825000000002,Patrol,V6,4000,2600,SUV,AWD,2009,2018-04-22,Spring,31.5,9,158003,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",27.6
V3,92.91659000000001,Patrol,V6,4000,2600,SUV,AWD,2009,2018-10-05,Autumn,30.0,9,165722,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",22.4
V3,90.67013000000001,Patrol,V6,4000,2600,SUV,AWD,2009,2019-04-20,Spring,29.8,10,174882,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",21.1
V3,88.18373000000001,Patrol,V6,4000,2600,SUV,AWD,2009,2019-10-09,Autumn,24.1,10,182880,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",17.9
V3,85.30996000000002,Patrol,V6,4000,2600,SUV,AWD,2009,2020-05-02,Spring,36.5,11,192459,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",18.4
V3,82.20462000000002,Patrol,V6,4000,2600,SUV,AWD,2009,2020-10-15,Autumn,35.5,11,200178,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",23.6
V3,78.76075000000002,Patrol,V6,4000,2600,SUV,AWD,2009,2021-04-04,Spring,26.7,12,208129,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",27.4
V3,75.05882000000001,Patrol,V6,4000,2600,SUV,AWD,2009,2021-10-06,Autumn,31.2,12,216731,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",17.1
V3,75.98209000000001,Patrol,V6,4000,2600,SUV,AWD,2009,2022-04-21,Spring,27.9,13,225891,46.5,Calm,Diligent,0,Corrective,1,Wheel Alignment Issue,Low,Alignment Service,18.6
V3,71.64451000000001,Patrol,V6,4000,2600,SUV,AWD,2009,2022-10-25,Autumn,28.1,13,234586,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",28.1
V3,61.472570000000005,Patrol,V6,4000,2600,SUV,AWD,2009,2023-04-11,Spring,26.5,14,242398,46.5,Calm,Diligent,1,Skipped,0,None,None,None,0.0
V3,61.53978000000001,Patrol,V6,4000,2600,SUV,AWD,2009,2023-10-15,Autumn,36.9,14,251093,46.5,Calm,Diligent,0,Emergency,1,Battery Failure,Medium,Battery,45.8
V3,56.24056000000001,Patrol,V6,4000,2600,SUV,AWD,2009,2024-04-23,Spring,29.9,15,259974,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",18.1
V3,50.68466000000001,Patrol,V6,4000,2600,SUV,AWD,2009,2024-10-24,Autumn,31.3,15,268530,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",26.4
V3,44.779070000000004,Patrol,V6,4000,2600,SUV,AWD,2009,2025-04-21,Spring,25.1,16,276853,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",30.0
V3,43.63354,Patrol,V6,4000,2600,SUV,AWD,2009,2025-10-10,Autumn,37.6,16,284851,46.5,Calm,Diligent,0,Corrective,1,Brake Pad Wear,Low,Brake Pads,40.3
V3,37.09368,Patrol,V6,4000,2600,SUV,AWD,2009,2026-05-09,Spring,30.9,17,294662,46.5,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",22.5
V4,100.0,Sunny,I4,1500,1050,Sedan,FWD,2011,2011-06-16,Summer,50.6,0,9163,55.2,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",15.4
V4,100.0,Sunny,I4,1500,1050,Sedan,FWD,2011,2011-11-29,Autumn,30.8,0,18326,55.2,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",16.7
V4,100.0,Sunny,I4,1500,1050,Sedan,FWD,2011,2012-05-13,Spring,33.0,1,27489,55.2,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",27.0
V4,100.0,Sunny,I4,1500,1050,Sedan,FWD,2011,2012-11-29,Autumn,29.5,1,38529,55.2,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",18.6
V4,100.0,Sunny,I4,1500,1050,Sedan,FWD,2011,2013-06-06,Summer,51.2,2,48961,55.2,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",16.0
V4,100.0,Sunny,I4,1500,1050,Sedan,FWD,2011,2013-12-24,Winter,22.6,2,60056,55.2,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",15.5
V4,100.0,Sunny,I4,1500,1050,Sedan,FWD,2011,2014-06-23,Summer,43.3,3,70047,55.2,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",24.2
V4,100.0,Sunny,I4,1500,1050,Sedan,FWD,2011,2014-12-06,Winter,26.6,3,79210,55.2,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",28.3
V4,100.0,Sunny,I4,1500,1050,Sedan,FWD,2011,2015-05-22,Spring,33.8,4,88428,55.2,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",15.2
V4,100.0,Sunny,I4,1500,1050,Sedan,FWD,2011,2015-12-01,Winter,26.2,4,99081,55.2,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",19.7
V4,100.0,Sunny,I4,1500,1050,Sedan,FWD,2011,2016-05-20,Spring,29.1,5,108520,55.2,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",20.2
V4,99.95793,Sunny,I4,1500,1050,Sedan,FWD,2011,2016-11-09,Autumn,27.4,5,118069,55.2,Calm,Diligent,0,Preventive,0,None,None,"Oil Filter,Engine Oil",16.4
